# x density pressure u_x
0.0000 1.0000 1.0000 0.0000
0.0110 1.0000 1.0000 0.0000
0.0219 1.0000 1.0000 0.0000
0.0329 1.0000 1.0000 0.0000
0.0439 1.0000 1.0000 0.0000
0.0549 1.0000 1.0000 0.0000
0.0658 1.0000 1.0000 0.0000
0.0768 1.0000 1.0000 0.0000
0.0878 1.0000 1.0000 0.0000
0.0988 1.0000 1.0000 0.0000
0.1097 1.0000 1.0000 0.0000
0.1207 1.0000 1.0000 0.0000
0.1317 1.0000 1.0000 0.0000
0.1427 1.0000 1.0000 0.0000
0.1536 1.0000 1.0000 0.0000
0.1646 1.0000 1.0000 0.0000
0.1756 1.0000 1.0000 0.0000
0.1865 1.0000 1.0000 0.0000
0.1975 1.0000 1.0000 0.0000
0.2085 1.0000 1.0000 0.0000
0.2195 1.0000 1.0000 0.0000
0.2304 1.0000 1.0000 0.0000
0.2414 1.0000 1.0000 0.0000
0.2524 1.0000 1.0000 0.0000
0.2634 1.0000 1.0000 0.0000
0.2634 1.0000 1.0000 0.0000
0.2726 0.9678 0.9552 0.0386
0.2819 0.9364 0.9121 0.0773
0.2912 0.9058 0.8706 0.1159
0.3005 0.8760 0.8308 0.1546
0.3097 0.8470 0.7926 0.1932
0.3190 0.8188 0.7559 0.2319
0.3283 0.7914 0.7206 0.2705
0.3376 0.7646 0.6868 0.3092
0.3468 0.7386 0.6544 0.3478
0.3561 0.7134 0.6232 0.3864
0.3654 0.6888 0.5934 0.4251
0.3747 0.6649 0.5647 0.4637
0.3839 0.6417 0.5373 0.5024
0.3932 0.6191 0.5110 0.5410
0.4025 0.5971 0.4859 0.5797
0.4117 0.5758 0.4618 0.6183
0.4210 0.5551 0.4387 0.6569
0.4303 0.5350 0.4166 0.6956
0.4396 0.5155 0.3955 0.7342
0.4488 0.4966 0.3753 0.7729
0.4581 0.4782 0.3560 0.8115
0.4674 0.4604 0.3376 0.8502
0.4767 0.4431 0.3200 0.8888
0.4859 0.4263 0.3031 0.9275
0.4859 0.4263 0.3031 0.9275
0.4943 0.4263 0.3031 0.9275
0.5026 0.4263 0.3031 0.9275
0.5109 0.4263 0.3031 0.9275
0.5192 0.4263 0.3031 0.9275
0.5275 0.4263 0.3031 0.9275
0.5358 0.4263 0.3031 0.9275
0.5441 0.4263 0.3031 0.9275
0.5525 0.4263 0.3031 0.9275
0.5608 0.4263 0.3031 0.9275
0.5691 0.4263 0.3031 0.9275
0.5774 0.4263 0.3031 0.9275
0.5857 0.4263 0.3031 0.9275
0.5940 0.4263 0.3031 0.9275
0.6023 0.4263 0.3031 0.9275
0.6107 0.4263 0.3031 0.9275
0.6190 0.4263 0.3031 0.9275
0.6273 0.4263 0.3031 0.9275
0.6356 0.4263 0.3031 0.9275
0.6439 0.4263 0.3031 0.9275
0.6522 0.4263 0.3031 0.9275
0.6605 0.4263 0.3031 0.9275
0.6689 0.4263 0.3031 0.9275
0.6772 0.4263 0.3031 0.9275
0.6855 0.4263 0.3031 0.9275
0.6855 0.2656 0.3031 0.9275
0.6924 0.2656 0.3031 0.9275
0.6992 0.2656 0.3031 0.9275
0.7061 0.2656 0.3031 0.9275
0.7130 0.2656 0.3031 0.9275
0.7199 0.2656 0.3031 0.9275
0.7267 0.2656 0.3031 0.9275
0.7336 0.2656 0.3031 0.9275
0.7405 0.2656 0.3031 0.9275
0.7473 0.2656 0.3031 0.9275
0.7542 0.2656 0.3031 0.9275
0.7611 0.2656 0.3031 0.9275
0.7680 0.2656 0.3031 0.9275
0.7748 0.2656 0.3031 0.9275
0.7817 0.2656 0.3031 0.9275
0.7886 0.2656 0.3031 0.9275
0.7955 0.2656 0.3031 0.9275
0.8023 0.2656 0.3031 0.9275
0.8092 0.2656 0.3031 0.9275
0.8161 0.2656 0.3031 0.9275
0.8229 0.2656 0.3031 0.9275
0.8298 0.2656 0.3031 0.9275
0.8367 0.2656 0.3031 0.9275
0.8436 0.2656 0.3031 0.9275
0.8504 0.2656 0.3031 0.9275
0.8504 0.1250 0.1000 0.0000
0.8567 0.1250 0.1000 0.0000
0.8629 0.1250 0.1000 0.0000
0.8691 0.1250 0.1000 0.0000
0.8754 0.1250 0.1000 0.0000
0.8816 0.1250 0.1000 0.0000
0.8878 0.1250 0.1000 0.0000
0.8941 0.1250 0.1000 0.0000
0.9003 0.1250 0.1000 0.0000
0.9065 0.1250 0.1000 0.0000
0.9128 0.1250 0.1000 0.0000
0.9190 0.1250 0.1000 0.0000
0.9252 0.1250 0.1000 0.0000
0.9314 0.1250 0.1000 0.0000
0.9377 0.1250 0.1000 0.0000
0.9439 0.1250 0.1000 0.0000
0.9501 0.1250 0.1000 0.0000
0.9564 0.1250 0.1000 0.0000
0.9626 0.1250 0.1000 0.0000
0.9688 0.1250 0.1000 0.0000
0.9751 0.1250 0.1000 0.0000
0.9813 0.1250 0.1000 0.0000
0.9875 0.1250 0.1000 0.0000
0.9938 0.1250 0.1000 0.0000
1.0000 0.1250 0.1000 0.0000
